Insider,Symbol,Total Amount,Share Price,Num. of Shares,Relation,Date,Num. of Insiders,Transaction
Yeboah-Amankwah,MBLY,"$997,899.00",$21.00,"47,519",Director,2022-10-28,6,Purchase
Yeary,MBLY,"$577,500.00",$21.00,"27,500",Director,2022-10-28,6,Purchase
Yeager,HUBG,"$2,975,311.61",$104.99,"28,339",Officer,2022-08-09,2,Purchase
Yeager,HUBG,"$4,921,826.21",$104.99,"46,879",,2022-08-09,2,Purchase
Yeager,HUBG,"$1,602,042.41",$104.99,"15,259","Officer, Director",2022-08-09,2,Purchase
Yeager,HUBG,"$2,851,633.39",$104.99,"27,161","Officer, Director",2022-08-09,2,Purchase
Yeager,HUBG,"$1,538,418.47",$104.99,"14,653","Officer, Director",2022-08-09,2,Purchase
Yeager,HUBG,"$3,764,836.41",$104.99,"35,859","Officer, Director",2022-08-09,2,Purchase
Yeager,HUBG,"$6,707,601.12",$104.99,"63,888","Officer, Director",2022-08-09,2,Purchase
Yang,WBD,"$669,919.87",$18.79,"35,653",Director,2022-05-05,2,Purchase
Xu,DECA,"$5,100,000.00",$10.00,"510,000",,2022-04-11,2,Purchase
Wynnefield,LFCR,"$2,251,413.42",$7.97,"282,486",Large Shareholder,2022-11-25,1,Purchase
Wynnefield,LFCR,"$2,751,722.20",$7.97,"345,260",Large Shareholder,2022-11-25,1,Purchase
Wynnefield,LFCR,"$2,251,413.42",$7.97,"282,486",Large Shareholder,2022-11-25,1,Purchase
Wynnefield,LFCR,"$2,751,722.20",$7.97,"345,260",Large Shareholder,2022-11-25,1,Purchase
Wynnefield,LNDC,"$1,189,230.00",$8.09,"147,000",Large Shareholder,2022-10-24,1,Purchase
Wynnefield,LNDC,"$833,270.00",$8.09,"103,000",Large Shareholder,2022-10-24,1,Purchase
Wynnefield,LNDC,"$2,184,137.90",$10.41,"209,872",Large Shareholder,2022-01-12,1,Purchase
Wynnefield,LNDC,"$937,962.10",$10.41,"90,128",Large Shareholder,2022-01-12,1,Purchase
Wright,CTM,"$117,055,800.00","$11,043.00","10,600","Large Shareholder, Officer, Director",2023-03-10,8,Purchase
Wright,CTM,"$902,518,400.00","$29,984.00","30,100","Large Shareholder, Officer, Director",2023-03-03,8,Purchase
Wright,CTM,"$1,125,000,000.00","$15,000.00","75,000","Large Shareholder, Officer, Director",2023-02-10,8,Purchase
Wright,CTM,"$1,125,000,000.00","$15,000.00","75,000","Large Shareholder, Officer, Director",2022-12-06,8,Purchase
Wright,CTM,"$19,941,000.00","$4,335.00","4,600","Large Shareholder, Officer, Director",2022-12-02,8,Purchase
Wright,CTM,"$29,913,600.00","$5,248.00","5,700","Large Shareholder, Officer, Director",2022-12-01,8,Purchase
Wright,CTM,"$50,411,900.00","$6,547.00","7,700","Large Shareholder, Officer, Director",2022-11-30,8,Purchase
Wright,CTM,"$22,561,000.00","$4,102.00","5,500","Large Shareholder, Officer, Director",2022-11-29,8,Purchase
Wright,CTM,"$160,414,221.00","$10,499.00","15,279","Large Shareholder, Officer, Director",2022-11-28,8,Purchase
Wright,CTM,"$1,379,000.00",$985.00,"1,400","Large Shareholder, Officer, Director",2022-11-25,8,Purchase
Wright,CTM,"$1,379,000.00",$985.00,"1,400","Large Shareholder, Officer, Director",2022-11-25,8,Purchase
Wright,CTM,"$11,357,476.00","$2,756.00","4,121","Large Shareholder, Officer, Director",2022-11-25,8,Purchase
Wright,CTM,"$799,753,500.00","$25,389.00","31,500","Large Shareholder, Officer, Director",2022-11-16,8,Purchase
Working,SFIX,"$1,609,790.00",$16.10,"100,000",Large Shareholder,2022-01-20,2,Purchase
Working,SFIX,"$3,228,900.00",$16.14,"200,000",Large Shareholder,2022-01-19,2,Purchase
Working,SFIX,"$2,441,430.00",$16.28,"150,000",Large Shareholder,2022-01-18,2,Purchase
Working,SFIX,"$2,523,975.00",$16.83,"150,000",Large Shareholder,2022-01-14,2,Purchase
Working,SFIX,"$663,032.36",$17.74,"37,383",Large Shareholder,2022-01-10,2,Purchase
Working,SFIX,"$2,700,690.00",$18.00,"150,000",Large Shareholder,2022-01-05,2,Purchase
Working,SFIX,"$1,434,414.90",$18.46,"77,717",Large Shareholder,2022-01-04,2,Purchase
Woolley,EXR,"$2,107,875.00",$200.75,"10,500",Director,2022-03-07,1,Purchase
Wood,ASPN,"$100,000,002.00",$9.50,"10,526,316",Large Shareholder,2022-11-30,3,Purchase
Wood,TLS,"$730,000.00",$3.65,"200,000","Officer, Director",2022-11-10,2,Purchase
Wood,TLS,"$730,000.00",$3.65,"200,000","Officer, Director",2022-11-10,2,Purchase
Wood,TLS,"$871,250.00",$6.97,"125,000","Officer, Director",2022-05-11,2,Purchase
Wong,HSAQ,"$18,085,120.00",$10.00,"1,808,512","Large Shareholder, Officer, Director",2023-01-24,1,Purchase
Wong,HSAQ,"$10,010,000.00",$10.01,"1,000,000","Officer, Director",2022-07-22,1,Purchase
Wolf,APPF,"$617,796.00",$154.45,"4,000",Director,2023-06-06,1,Purchase
Wolf,APPF,"$776,997.50",$155.40,"5,000",Director,2023-06-05,1,Purchase
Wolf,APPF,"$2,331,100.50",$155.41,"15,000",Director,2023-06-05,1,Purchase
Wolf,APPF,"$607,447.08",$136.26,"4,458",Director,2023-05-08,1,Purchase
Wolf,APPF,"$603,029.98",$136.99,"4,402",Director,2023-05-05,1,Purchase
Woiwode,TPST,"$4,999,999.84",$2.36,"2,118,644","Large Shareholder, Director",2022-04-29,1,Purchase
Wirth,IHT,"$7,320,000.00","$3,660.00","2,000","Large Shareholder, Officer, Other",2023-05-26,2,Purchase
Wirth,IHT,"$1,935,000.00","$1,935.00","1,000","Large Shareholder, Officer, Other",2023-05-11,2,Purchase
Wirth,IHT,"$3,043,460,000.00","$70,000.00","43,478","Large Shareholder, Officer, Other",2022-12-29,2,Purchase
Wirth,IHT,"$36,075,000.00","$7,215.00","5,000","Large Shareholder, Officer, Other",2022-12-23,2,Purchase
Wirth,IHT,"$54,307,500.00","$10,861.50","5,000","Large Shareholder, Officer",2022-05-31,2,Purchase
Winkler,AKYA,"$1,016,940.00",$5.00,"203,388",Director,2023-06-12,3,Purchase
Winfrey,CHTR,"$773,647.24",$592.38,"1,306",Officer,2022-02-01,3,Purchase
Winfrey,CHTR,"$854,238.49",$591.58,"1,444",Officer,2022-02-01,3,Purchase
Wine,USB,"$999,888.30",$32.85,"30,438",Director,2023-04-28,2,Purchase
Winder,SXT,"$1,631,116.88",$86.78,"18,796",Large Shareholder,2022-05-26,1,Purchase
Winder,SXT,"$562,217.34",$85.73,"6,558",Large Shareholder,2022-05-25,1,Purchase
Winder,SXT,"$766,998.96",$85.26,"8,996",Large Shareholder,2022-05-25,1,Purchase
Winder,SXT,"$778,492.89",$83.79,"9,291",Large Shareholder,2022-05-24,1,Purchase
Winder,SXT,"$928,836.16",$82.88,"11,207",Large Shareholder,2022-05-24,1,Purchase
Winder,SXT,"$1,907,569.28",$83.68,"22,796",Large Shareholder,2022-05-23,1,Purchase
Winder,SXT,"$857,557.20",$83.55,"10,264",Large Shareholder,2022-05-20,1,Purchase
Winder,SXT,"$742,094.94",$82.51,"8,994",Large Shareholder,2022-05-20,1,Purchase
Winder,SXT,"$1,676,544.48",$83.46,"20,088",Large Shareholder,2022-05-19,1,Purchase
Winder,SXT,"$573,131.85",$83.73,"6,845",Large Shareholder,2022-05-18,1,Purchase
Winder,SXT,"$2,389,062.60",$82.85,"28,836",Large Shareholder,2022-05-18,1,Purchase
Winder,SXT,"$3,173,211.09",$83.79,"37,871",Large Shareholder,2022-05-17,1,Purchase
Winder,SXT,"$1,739,739.40",$82.90,"20,986",Large Shareholder,2022-05-16,1,Purchase
Winder,SXT,"$622,376.25",$84.39,"7,375",Large Shareholder,2022-05-13,1,Purchase
Winder,SXT,"$1,538,892.36",$83.64,"18,399",Large Shareholder,2022-05-13,1,Purchase
Winder,SXT,"$507,448.34",$84.14,"6,031",Large Shareholder,2022-05-11,1,Purchase
Winder,SXT,"$2,013,014.70",$81.78,"24,615",Large Shareholder,2022-05-11,1,Purchase
Winder,SXT,"$2,781,469.35",$83.49,"33,315",Large Shareholder,2022-05-10,1,Purchase
Winder,SXT,"$818,681.55",$82.57,"9,915",Large Shareholder,2022-05-10,1,Purchase
Winder,SXT,"$1,499,311.63",$82.33,"18,211",Large Shareholder,2022-05-09,1,Purchase
Winder,SXT,"$1,241,362.08",$81.76,"15,183",Large Shareholder,2022-05-09,1,Purchase
Winder,SXT,"$1,230,422.52",$82.84,"14,853",Large Shareholder,2022-05-06,1,Purchase
Winder,SXT,"$2,047,990.68",$82.12,"24,939",Large Shareholder,2022-05-06,1,Purchase
Winder,SXT,"$2,139,361.66",$85.01,"25,166",Large Shareholder,2022-05-05,1,Purchase
Winder,SXT,"$1,263,485.75",$87.59,"14,425",Large Shareholder,2022-05-04,1,Purchase
Winder,SXT,"$515,821.50",$85.50,"6,033",Large Shareholder,2022-05-04,1,Purchase
Winder,SXT,"$767,147.20",$85.60,"8,962",Large Shareholder,2022-05-03,1,Purchase
Winder,SXT,"$2,794,697.36",$84.77,"32,968",Large Shareholder,2022-05-03,1,Purchase
Winder,SXT,"$2,128,701.00",$85.49,"24,900",Large Shareholder,2022-05-02,1,Purchase
Winder,SXT,"$543,447.45",$86.55,"6,279",Large Shareholder,2022-04-29,1,Purchase
Winder,SXT,"$1,416,541.95",$85.95,"16,481",Large Shareholder,2022-04-29,1,Purchase
Winder,SXT,"$2,307,228.00",$84.70,"27,240",Large Shareholder,2022-04-29,1,Purchase
Winder,SXT,"$1,674,714.72",$85.08,"19,684",Large Shareholder,2022-04-28,1,Purchase
Winder,SXT,"$798,586.25",$82.97,"9,625",Large Shareholder,2022-04-28,1,Purchase
Winder,SXT,"$1,709,716.01",$83.47,"20,483",Large Shareholder,2022-04-27,1,Purchase
Winder,SXT,"$615,130.91",$82.69,"7,439",Large Shareholder,2022-04-27,1,Purchase
Winder,SXT,"$2,246,310.44",$82.06,"27,374",Large Shareholder,2022-04-26,1,Purchase
Winder,SXT,"$973,009.93",$84.47,"11,519",Large Shareholder,2022-04-25,1,Purchase
Winder,SXT,"$689,212.68",$83.46,"8,258",Large Shareholder,2022-04-25,1,Purchase
Winder,SXT,"$1,764,824.38",$83.27,"21,194",Large Shareholder,2022-04-22,1,Purchase
Winder,SXT,"$603,375.84",$84.72,"7,122",Large Shareholder,2022-04-21,1,Purchase
Winder,SXT,"$2,053,387.52",$83.99,"24,448",Large Shareholder,2022-04-21,1,Purchase
Winder,SXT,"$1,160,918.22",$85.18,"13,629",Large Shareholder,2022-04-20,1,Purchase
Winder,SXT,"$870,776.32",$84.64,"10,288",Large Shareholder,2022-04-19,1,Purchase
Winder,SXT,"$1,232,621.60",$82.40,"14,959",Large Shareholder,2022-04-18,1,Purchase
Winder,SXT,"$1,474,330.00",$82.48,"17,875",Large Shareholder,2022-04-14,1,Purchase
Winder,SXT,"$1,560,997.80",$83.40,"18,717",Large Shareholder,2022-04-13,1,Purchase
Winder,SXT,"$781,423.15",$83.53,"9,355",Large Shareholder,2022-04-12,1,Purchase
Winder,SXT,"$2,172,424.80",$82.32,"26,390",Large Shareholder,2022-04-12,1,Purchase
Winder,SXT,"$1,760,356.08",$83.02,"21,204",Large Shareholder,2022-04-11,1,Purchase
Winder,SXT,"$2,041,482.48",$83.76,"24,373",Large Shareholder,2022-04-08,1,Purchase
Winder,SXT,"$775,573.98",$84.43,"9,186",Large Shareholder,2022-04-07,1,Purchase
Winder,SXT,"$612,012.18",$83.46,"7,333",Large Shareholder,2022-04-07,1,Purchase
Winder,SXT,"$1,174,318.20",$84.06,"13,970",Large Shareholder,2022-04-06,1,Purchase
Winder,SXT,"$1,638,290.04",$84.57,"19,372",Large Shareholder,2022-04-05,1,Purchase
Winder,SXT,"$1,657,026.13",$85.63,"19,351",Large Shareholder,2022-04-04,1,Purchase
Winder,SXT,"$1,382,882.20",$85.40,"16,193",Large Shareholder,2022-04-01,1,Purchase
Winder,SXT,"$1,440,984.30",$84.54,"17,045",Large Shareholder,2022-04-01,1,Purchase
Winder,SXT,"$1,697,911.52",$84.08,"20,194",Large Shareholder,2022-03-31,1,Purchase
Winder,SXT,"$1,773,616.59",$84.47,"20,997",Large Shareholder,2022-03-30,1,Purchase
Winder,SXT,"$1,252,537.74",$86.37,"14,502",Large Shareholder,2022-03-29,1,Purchase
Winder,SXT,"$977,379.44",$85.72,"11,402",Large Shareholder,2022-03-29,1,Purchase
Winder,SXT,"$836,176.32",$84.96,"9,842",Large Shareholder,2022-03-29,1,Purchase
Winder,SXT,"$585,428.40",$82.20,"7,122",Large Shareholder,2022-03-28,1,Purchase
Winder,SXT,"$584,424.64",$81.08,"7,208",Large Shareholder,2022-03-28,1,Purchase
Winder,SXT,"$1,847,028.00",$81.01,"22,800",Large Shareholder,2022-03-25,1,Purchase
Winder,SXT,"$515,253.13",$80.27,"6,419",Large Shareholder,2022-03-24,1,Purchase
Winder,SXT,"$1,497,080.52",$79.56,"18,817",Large Shareholder,2022-03-23,1,Purchase
Windacre,PRM,"$13,840,000.00",$8.65,"1,600,000",Large Shareholder,2022-05-09,1,Purchase
Windacre,NLSN,"$194,622,600.00",$27.35,"7,116,000",Large Shareholder,2022-04-14,1,Purchase
Windacre,NLSN,"$155,376,229.00",$27.49,"5,652,100",Large Shareholder,2022-04-13,1,Purchase
Windacre,NLSN,"$188,775,500.00",$27.26,"6,925,000",Large Shareholder,2022-04-12,1,Purchase
Windacre,NLSN,"$286,944,840.00",$27.30,"10,510,800",Large Shareholder,2022-04-11,1,Purchase
Windacre,NLSN,"$265,100,176.00",$27.61,"9,601,600",Large Shareholder,2022-04-08,1,Purchase
Windacre,NLSN,"$332,335,068.00",$27.64,"12,023,700",Large Shareholder,2022-04-07,1,Purchase
Windacre,NLSN,"$272,821,788.40",$27.44,"9,942,485",Large Shareholder,2022-04-06,1,Purchase
Wilmott,DRI,"$1,200,000.00",$120.00,"10,000",Director,2022-06-28,1,Purchase
Willow,UHAL UHALB,"$1,404,711.09",$56.41,"24,900",Large Shareholder,2023-03-23,3,Purchase
Willow,"UHAL,UHALB","$3,022,420.09",$66.18,"45,669",Large Shareholder,2022-12-08,3,Purchase
Willow,"UHAL,UHALB","$2,777,549.32",$65.66,"42,302",Large Shareholder,2022-12-08,3,Purchase
Willow,"UHAL,UHALB","$1,753,236.09",$64.87,"27,029",Large Shareholder,2022-12-08,3,Purchase
Willow,"UHAL,UHALB","$6,201,647.15",$64.54,"96,087",Large Shareholder,2022-12-07,3,Purchase
Willow,"UHAL,UHALB","$2,234,354.60",$63.82,"35,013",Large Shareholder,2022-12-07,3,Purchase
Willow,"UHAL,UHALB","$1,287,062.40",$61.88,"20,800",Large Shareholder,2022-11-30,3,Purchase
Willow,"UHAL,UHALB","$3,161,624.34",$61.31,"51,567",Large Shareholder,2022-11-29,3,Purchase
Willow,"UHAL,UHALB","$4,734,191.76",$60.51,"78,233",Large Shareholder,2022-11-29,3,Purchase
Willow,"UHAL,UHALB","$13,549,426.07",$59.28,"228,555",Large Shareholder,2022-11-28,3,Purchase
Willow,"UHAL,UHALB","$5,432,391.41",$58.86,"92,295",Large Shareholder,2022-11-28,3,Purchase
Willow,"UHAL,UHALB","$2,668,073.89",$55.11,"48,418",,2022-11-17,3,Purchase
Willow,"UHAL,UHALB","$4,695,883.68",$54.62,"85,980",,2022-11-17,3,Purchase
Willow,"UHAL,UHALB","$4,137,481.04",$53.36,"77,539",,2022-11-17,3,Purchase
Willow,"UHAL,UHALB","$3,324,050.73",$52.71,"63,063",,2022-11-17,3,Purchase
Willow,"UHAL,UHALB","$5,530,113.12",$54.49,"101,483",,2022-11-16,3,Purchase
Willow,"UHAL,UHALB","$9,316,271.33",$53.43,"174,351",,2022-11-16,3,Purchase
Willow,"UHAL,UHALB","$2,483,745.08",$52.75,"47,087",,2022-11-16,3,Purchase
Williams,LOB,"$639,091.00",$63.91,"10,000","Officer, Director",2022-02-09,1,Purchase
Williams,CCLFX,"$685,000.01",$10.73,"63,840",Director,2022-03-18,2,Purchase
Williams,CELFX,"$525,000.00",$10.67,"49,203",Director,2022-03-18,2,Purchase
Williams,STEL,"$988,290.00",$21.96,"45,000",Director,2023-05-03,3,Purchase
Williams,VANI,"$1,795,563.00",$1.10,"1,632,330","Large Shareholder, Director",2023-04-28,1,Purchase
Williams,EYES,"$589,547.78",$1.92,"307,649","Large Shareholder, Director",2022-05-20,1,Purchase
Williams,EYES,"$642,686.56",$1.66,"387,044","Large Shareholder, Director",2022-05-18,1,Purchase
Williams,WRAC,"$2,317,849.34",$10.01,"231,521","Large Shareholder, Officer, Director",2022-12-19,1,Purchase
Williams,WRAC,"$3,084,000.00",$10.28,"300,000","Large Shareholder, Officer, Director",2022-12-16,1,Purchase
Williams,WRAC,"$2,162,912.00",$10.28,"210,400","Large Shareholder, Officer, Director",2022-12-15,1,Purchase
Wilkerson,QTNT,"$1,399,999.80",$0.30,"4,666,666",Director,2022-06-24,2,Purchase
Wilk,DAVE,"$15,329,981.16",$10.01,"1,532,232","Officer, Director",2022-09-30,1,Purchase
Whitmore,KDP,"$2,401,280.00",$37.52,"64,000",Officer,2022-05-02,5,Purchase
White,MAX,"$59,168,160.00",$10.00,"5,916,816","Large Shareholder, Director",2023-06-30,1,Purchase
White,SMAR,"$9,460,455.00",$63.07,"150,000",Director,2022-01-07,1,Purchase
Wg,YMAB,"$981,404.39",$9.65,"101,740","Director, Other",2023-05-15,2,Purchase
Westlake,SLRN,"$22,500,000.00",$18.00,"1,250,000",Large Shareholder,2023-05-09,3,Purchase
Westbridge,FRSH,"$1,154,099.59",$15.93,"72,440",Large Shareholder,2023-02-13,4,Purchase
Westbridge,FRSH,"$3,145,520.00",$15.73,"200,000",Large Shareholder,2023-02-10,4,Purchase
Wensink,PLPC,"$35,981,760.00",$44.40,"810,400",Large Shareholder,2022-09-14,3,Purchase
Wells,TTD,"$801,675.00",$45.81,"17,500",Director,2022-05-25,1,Purchase
Welling,NCR,"$5,389,761.45",$22.96,"234,759",Director,2022-11-11,1,Purchase
Welling,NCR,"$5,904,525.18",$22.03,"268,078",Director,2022-11-10,1,Purchase
Welling,NCR,"$1,578,245.28",$20.63,"76,508",Director,2022-11-09,1,Purchase
Welling,NCR,"$3,723,932.06",$20.65,"180,375",Director,2022-11-09,1,Purchase
Wellborn,MHK,"$882,796.60",$136.15,"6,484","Officer, Director",2022-02-24,1,Purchase
Welch,LKFN,"$753,420.94",$64.31,"11,715",Director,2023-03-13,1,Purchase
Welch,KNTK,"$905,850.00",$36.60,"24,750","Officer, Director",2022-09-21,1,Purchase
Weitz,CABO,"$720,000.00","$1,440.00",500,Director,2022-03-01,2,Purchase
Weiss,FBIO,"$999,999.34",$0.84,"1,197,604","Large Shareholder, Officer, Director",2023-02-10,2,Purchase
Weisenburger,MP,"$997,500.00",$33.25,"30,000",Director,2022-06-16,2,Purchase
Weisenburger,CUK,"$1,175,500.00",$11.76,"100,000",Director,2022-05-25,1,Purchase
Weisenburger,CCL,"$1,175,500.00",$11.76,"100,000",Director,2022-05-25,1,Purchase
Weisenburger,MP,"$1,152,000.00",$38.40,"30,000",Director,2022-03-07,2,Purchase
Weiner,DPZ,"$575,791.42",$302.89,"1,901","Officer, Director",2023-03-02,1,Purchase
Weil,PL,"$997,113.40",$3.64,"274,000",Officer,2023-04-03,1,Purchase
Wehner,PLAY,"$501,912.71",$33.86,"14,823",Officer,2022-10-14,4,Purchase
Wedell-Wedellsborg,YMAB,"$981,404.39",$9.65,"101,740",Director,2023-05-15,2,Purchase
Webster,CPE,"$613,280.00",$30.66,"20,000",Director,2023-05-10,1,Purchase
Webster,CPE,"$632,600.00",$31.63,"20,000",Director,2023-05-09,1,Purchase
Webster,MVST,"$737,590.00",$2.57,"287,000","Officer, Director",2022-06-13,2,Purchase
Warsop,ACIW,"$935,641.40",$23.59,"39,667","Officer, Director",2023-06-06,1,Purchase
Warsh,CPNG,"$504,208.08",$13.14,"38,372",Director,2022-05-17,2,Purchase
Warren,ET,"$4,466,000.00",$12.76,"350,000","Officer, Director",2023-05-24,3,Purchase
Warren,ET,"$5,112,000.00",$12.78,"400,000","Officer, Director",2023-05-23,3,Purchase
Warren,ET,"$9,592,500.00",$12.79,"750,000","Officer, Director",2023-05-22,3,Purchase
Warren,ET,"$12,490,000.00",$12.49,"1,000,000","Officer, Director",2023-05-15,3,Purchase
Warren,ET,"$6,135,000.00",$12.27,"500,000","Officer, Director",2023-05-12,3,Purchase
Warren,ET,"$21,670,856.10",$13.05,"1,660,602","Officer, Director",2023-02-23,3,Purchase
Warren,ET,"$17,398,780.02",$12.99,"1,339,398","Officer, Director",2023-02-22,3,Purchase
Warren,ET,"$16,107,000.00",$12.39,"1,300,000","Officer, Director",2022-11-23,3,Purchase
Warren,ET,"$6,180,000.00",$12.36,"500,000","Officer, Director",2022-11-22,3,Purchase
Warren,ET,"$12,905,750.00",$12.35,"1,045,000","Officer, Director",2022-11-08,3,Purchase
Warren,ET,"$1,918,900.00",$12.38,"155,000","Officer, Director",2022-11-07,3,Purchase
Warren,ET,"$6,769,348.05",$11.85,"571,253","Officer, Director",2022-09-13,3,Purchase
Warren,ET,"$29,242,113.88",$12.04,"2,428,747","Officer, Director",2022-09-12,3,Purchase
Warren,ET,"$17,406,546.48",$10.94,"1,591,092","Officer, Director",2022-08-09,3,Purchase
Warren,ET,"$12,666,864.44",$10.93,"1,158,908","Officer, Director",2022-08-08,3,Purchase
Wang,DEI,"$6,012,280.00",$21.17,"284,000",,2022-09-08,3,Purchase
Wang,SONM,"$4,649,300.04",$0.84,"5,534,881","Large Shareholder, Director",2022-08-08,3,Purchase
Wang,SONM,"$11,699,999.64",$0.84,"13,928,571","Large Shareholder, Director",2022-07-13,3,Purchase
Wambeke,DMAC,"$750,000.00",$1.60,"468,750",Officer,2023-04-10,2,Purchase
Walt,QTRX,"$1,293,495.00",$8.62,"150,000",,2022-08-10,4,Purchase
Walmsley,MSFT,"$502,316.51",$295.48,"1,700",Director,2022-01-28,1,Purchase
Walker,COP,"$501,600.00",$104.50,"4,800",Director,2023-02-17,1,Purchase
Walker,ALLK,"$16,999,728.00",$5.02,"3,386,400",Director,2022-09-21,2,Purchase
Walker,ALLK,"$2,999,952.00",$5.02,"597,600",Director,2022-09-21,2,Purchase
Walker,TRVI,"$1,803,001.20",$1.90,"948,948",Large Shareholder,2022-04-11,9,Purchase
Walker,TRVI,"$4,999,998.20",$1.90,"2,631,578",Large Shareholder,2022-04-11,9,Purchase
Walker,GRNA,"$24,999,999.92",$3.92,"6,377,551","Large Shareholder, Director",2022-08-11,5,Purchase
Walker,GRNA,"$15,000,000.00",$10.00,"1,500,000","Large Shareholder, Director",2022-02-02,5,Purchase
Walesa,CLRD,"$1,199,982.52",$0.68,"1,776,436","Large Shareholder, Officer, Director",2022-12-30,1,Purchase
Waksal,LYRA,"$999,996.52",$4.22,"236,966","Officer, Director",2022-04-12,4,Purchase
Wainscott,PH,"$535,560.00",$267.78,"2,000",Director,2022-05-06,1,Purchase
Wagner,PACW,"$500,000.00",$25.00,"20,000","Officer, Director",2022-06-06,1,Purchase
Vos,CAPIX,"$2,000,000.00",$10.02,"199,601","Officer, Director",2023-06-22,4,Purchase
Voorhees,TFC,"$996,320.00",$49.82,"20,000",,2022-05-04,1,Purchase
Voorhees,TFC,"$592,080.00",$59.21,"10,000",,2022-03-04,1,Purchase
Von,DMAC,"$4,999,999.20",$3.40,"1,470,588",Large Shareholder,2023-06-23,2,Purchase
Von,DMAC,"$3,526,971.05",$1.24,"2,855,847",Large Shareholder,2022-12-02,2,Purchase
