Company Name,Symbol,Short % of Float,Record Date
Luminar Technologies Inc. - Class A Common Stock,LAZR,25.34,2023-01-11
Lucid Group Inc. - Common Stock,LCID,34.82,2023-01-11
Lemonade Inc. Common Stock,LMND,25.57,2023-01-11
Lyell Immunopharma Inc. - Common Stock,LYEL,20.3,2023-01-11
Mister Car Wash Inc. Common Stock,MCW,21.47,2023-01-11
Nikola Corporation - Common Stock,NKLA,29.75,2023-01-11
Sunnova Energy International Inc,NOVA,23.58,2023-01-11
Nuwellis Inc. - Common Stock,NUWE,26.39,2023-01-11
Offerpad Solutions Inc. Class A Common Stock,OPAD,21.74,2023-01-11
Osiris Acquisition Corp. Class A Common Stock,OSI,22.24,2023-01-11
Outlook Therapeutics Inc,OTLK,32.96,2023-01-11
Petmed Express Inc,PETS,20.07,2023-01-11
Shiftpixy Inc,PIXY,23.73,2023-01-11
Childrens Place Inc (the,PLCE,20.59,2023-01-11
PMV Pharmaceuticals Inc. - Common Stock,PMVP,30.57,2023-01-11
QuantumScape Corporation Class A Common Stock,QS,26.59,2023-01-11
Ring Energy Inc,REI,21.62,2023-01-11
Reata Pharmaceuticals Inc - Class A,RETA,28.84,2023-01-11
Lordstown Motors Corp.,RIDE,24.87,2023-01-11
Rocket Companies Inc. Class A Common Stock,RKT,33.81,2023-01-11
Root Inc. - common stock,ROOT,21.17,2023-01-11
Sonic Automotive Inc,SAH,30.26,2023-01-11
Sana Biotechnology Inc. - Common Stock,SANA,31.33,2023-01-11
Cassava Sciences Inc,SAVA,22.13,2023-01-11
Silverbow Resorces Inc,SBOW,24.43,2023-01-11
Stronghold Digital Mining Inc. - Class A Common Stock,SDIG,23.78,2023-01-11
Shift Technologies Inc. - Class A Common Stock,SFT,30.31,2023-01-11
Sirius XM Holdings Inc,SIRI,25.19,2023-01-11
The Beauty Health Company - Class A Common Stock,SKIN,29.98,2023-01-11
NuScale Power Corporation Class A Common Stock,SMR,20.52,2023-01-11
Virgin Galactic Holdings Inc,SPCE,23.37,2023-01-11
Seritage Growth Properties Class A,SRG,22.14,2023-01-11
Sitio Royalties Corp. Class A Common Stock,STR,55.75,2023-01-11
Springworks Therapeutics Inc,SWTX,25.58,2023-01-11
Tricida Inc,TCDA,21.79,2023-01-11
Target Hospitality Corp,TH,23.74,2023-01-11
Trupanion Inc,TRUP,20.58,2023-01-11
Tattooed Chef Inc. - Class A Common Stock,TTCF,33.44,2023-01-11
Amerco,UHAL,22.68,2023-01-11
Upstart Holdings Inc. - Common stock,UPST,39.14,2023-01-11
UWM Holdings Corporation Class A Common Stock,UWMC,27.25,2023-01-11
Veru Inc,VERU,22.47,2023-01-11
Verve Therapeutics Inc. - Common Stock,VERV,32.45,2023-01-11
Voya Financial Inc,VOYA,22.31,2023-01-11
Vuzix Corporation,VUZI,24.97,2023-01-11
Vivint Smart Home Inc. ,VVNT,36.42,2023-01-11
Wayfair Inc Class A,W,34.86,2023-01-11
WeWork Inc. Class A Common Stock,WE,31.9,2023-01-11
Winnebago Industries Inc,WGO,20.07,2023-01-11
Clear Secure Inc. Class A Common Stock,YOU,20.08,2023-01-11
Lightning eMotors Inc Common Stock,ZEV,23.29,2023-01-11
ZIM Integrated Shipping Services Ltd. Ordinary Shares,ZIM,22.04,2023-01-11
ZimVie Inc. - Common Stock,ZIMV,21.79,2023-01-11
