"Ticker","Sector","Market Cap","P/E","Float Short","50-Day Simple Moving Average","Price"
"MVIS","Technology",762.37,,25.44%,7.04%,4.38
"NEWT","Financial",394.63,11.67,15.89%,21.43%,16.97
"NKLA","Industrials",911.97,,39.68%,131.39%,2.22
"NOG","Energy",3254.25,2.38,16.01%,10.17%,35.67
"NOVA","Technology",2319.19,,23.79%,24.76%,21.66
"NSSC","Industrials",1258.12,37.78,19.71%,0.04%,35.25
"NVAX","Healthcare",787.08,,46.64%,19.61%,9.24
"NVTA","Healthcare",335.67,,20.41%,6.26%,1.30
"ODP","Consumer Cyclical",1820.48,11.22,15.11%,10.67%,47.97
"OM","Healthcare",923.76,,16.05%,-8.31%,19.42
"OMER","Healthcare",307.95,,19.14%,-13.07%,5.09
"ORIC","Healthcare",344.93,,15.53%,30.36%,7.85
"OTLK","Healthcare",457.52,,15.29%,15.87%,1.76
"PACB","Healthcare",3400.71,,15.29%,8.86%,13.88
"PACW","Financial",968.84,,23.11%,17.65%,8.46
"PAR","Technology",932.15,,18.42%,2.26%,34.47
"PCT","Industrials",1710.50,,22.45%,33.80%,10.98
"PEB","Real Estate",1723.72,,18.38%,1.97%,14.18
"PLCE","Consumer Cyclical",332.26,,25.83%,16.51%,26.06
"PLUG","Industrials",6476.57,,23.08%,33.79%,12.36
"PMVP","Healthcare",307.09,,15.16%,27.72%,7.41
"PR","Energy",6193.53,5.91,17.06%,13.62%,11.48
"PROK","Healthcare",2524.27,,17.75%,6.41%,11.23
"QS","Consumer Cyclical",4420.31,,21.08%,44.46%,10.14
"RCUS","Healthcare",1746.20,,15.34%,15.22%,22.68
"RDFN","Real Estate",1706.64,,17.11%,58.94%,17.01
"REPL","Healthcare",1161.10,,15.02%,-1.78%,20.48
"RILY","Financial",1339.03,,23.42%,28.57%,50.17
"RIOT","Financial",2750.40,,18.40%,72.96%,20.29
"RKT","Financial",19961.09,,23.72%,19.24%,10.30
"RL","Consumer Cyclical",8523.58,17.06,19.18%,8.64%,126.68
"RLAY","Healthcare",1529.81,,17.34%,10.40%,12.68
"RNA","Healthcare",775.86,,30.89%,-2.57%,11.08
"RUN","Technology",4059.81,319.33,17.41%,11.14%,19.89
"RVLV","Consumer Cyclical",1294.74,26.66,30.21%,9.45%,18.47
"RVNC","Healthcare",1952.53,,18.87%,-22.50%,23.23
"RYTM","Healthcare",935.29,,19.58%,-6.67%,16.05
"SAH","Consumer Cyclical",1804.08,79.94,15.22%,16.55%,51.67
"SANA","Healthcare",1179.15,,16.43%,-5.25%,5.93
"SAVA","Healthcare",955.14,,25.72%,-9.18%,21.92
"SCPH","Healthcare",323.35,,18.60%,-19.24%,8.50
"SCVL","Consumer Cyclical",652.03,6.63,16.99%,3.90%,23.24
"SFM","Consumer Defensive",3874.84,16.35,18.75%,7.57%,38.26
"SHLS","Technology",4110.12,44.95,17.59%,10.04%,25.95
"SIRI","Communication Services",18565.20,16.70,33.32%,27.01%,4.89
"SLG","Real Estate",1935.45,,24.77%,28.13%,32.31
"SMR","Industrials",1599.86,,22.97%,1.38%,7.87
"SPB","Consumer Defensive",3173.54,,19.50%,5.36%,77.80
"SPCE","Industrials",1096.56,,26.86%,-2.73%,4.02
"SPT","Technology",2859.43,,16.05%,20.54%,55.11
"SRG","Real Estate",531.84,,20.91%,19.10%,9.69
"SSTK","Communication Services",2012.37,24.40,18.71%,11.75%,56.95
"STEM","Technology",989.28,,26.46%,31.21%,6.83
"STOK","Healthcare",445.41,,15.47%,-10.81%,10.19
"SWTX","Healthcare",1705.79,,27.56%,4.72%,28.37
"TALO","Energy",1707.12,2.28,18.82%,8.08%,14.25
"TDOC","Healthcare",4016.38,,15.83%,4.21%,25.54
"TGTX","Healthcare",3510.93,,16.93%,-21.45%,21.75
"TH","Industrials",1321.97,11.52,19.82%,-8.65%,12.94
"TPIC","Industrials",433.69,,20.61%,-3.23%,10.17
"TRUP","Financial",988.55,,34.51%,8.83%,26.25
"TSVT","Healthcare",537.25,,22.38%,-4.66%,10.60
"TWST","Healthcare",1315.54,,26.39%,43.37%,23.37
"UHAL","Industrials",10679.45,1.67,20.17%,4.75%,60.65
"UPST","Financial",3638.36,,38.40%,68.42%,47.40
"UWMC","Financial",9449.44,70.24,24.21%,13.25%,6.12
"VERV","Healthcare",1248.02,,21.33%,15.46%,20.36
"VKTX","Healthcare",1597.48,,17.77%,-24.82%,15.74
"VRDN","Healthcare",864.70,,17.02%,-13.64%,21.42
"VTLE","Energy",865.00,0.99,25.54%,12.61%,49.39
"VTNR","Energy",573.97,,25.60%,1.57%,6.52
"VTYX","Healthcare",2193.09,,18.09%,0.58%,35.41
"VUZI","Technology",351.15,,25.13%,22.00%,5.72
"W","Consumer Cyclical",7214.43,,34.46%,51.04%,72.18
"WGO","Consumer Cyclical",2078.19,9.21,21.64%,12.93%,69.28
"WIRE","Industrials",3098.26,5.04,18.63%,3.93%,179.54
"WNC","Industrials",1123.26,7.85,16.61%,-4.81%,23.91
"WOLF","Technology",7520.56,,16.49%,33.61%,67.27
"WOOF","Consumer Cyclical",2094.06,39.38,20.34%,1.45%,9.26
"WW","Consumer Cyclical",590.97,,21.20%,14.28%,8.35
"XPOF","Consumer Cyclical",1013.97,,18.11%,-19.19%,20.66
"YOU","Technology",3881.62,,22.93%,5.13%,25.52
"ZNTL","Healthcare",1942.71,,27.51%,5.37%,27.63
"ZYXI","Healthcare",335.07,20.24,26.45%,-4.65%,9.22
